Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Fatty acid biosynthesis	5/16	0.002114228880740204839783213941473150043748319149017333984375	0.10693437095154180449529945917674922384321689605712890625	0.00496863594250414146447081265023371088318526744842529296875	0.1487581207780870606871559402861748822033405303955078125	-70.90658721719203	436.71828870040014	acsbg2;acsl1b;acsl1a;acacb;acsl5
Fatty acid elongation	7/33	0.0033278542283116867121772752824426788720302283763885498046875	0.10693437095154180449529945917674922384321689605712890625	0.00580242687382777344584638967717182822525501251220703125	0.1487581207780870606871559402861748822033405303955078125	-56.58330257125448	322.8319338450265	tecrb;acot7;elovl6;hsd17b12a;ppt1;zgc:55621;elovl1b
Biosynthesis of unsaturated fatty acids	5/29	0.029736490935783295441741103104504873044788837432861328125	0.28745274571257184437200749016483314335346221923828125	0.0377456431524485214179520653487998060882091522216796875	0.3393870471366839947080507045029662549495697021484375	-70.97002744037552	249.48663893134903	tecrb;acot7;elovl6;hsd17b12a;elovl1b
Glycosaminoglycan degradation	2/21	0.371509205550088983383005825089639984071254730224609375	0.9718776790613061766777036609710194170475006103515625	0.367611727333108095905345180653966963291168212890625	0.9268980862607902881933341632247902452945709228515625	-103	101.98870847949804	hgsnat;hpse2
Glyoxylate and dicarboxylate metabolism	4/37	0.188858668246812688717994888065732084214687347412109375	0.73025351722100906304291356718749739229679107666015625	0.19072034648753455332581552283954806625843048095703125	0.73745200641846697653392084248480387032032012939453125	-57.59434764464799	95.9957435497488	mdh1aa;afmid;glyctk;hoga1
Starch and sucrose metabolism	4/34	0.152311963343403189430347310917568393051624298095703125	0.654377323993880377628329370054416358470916748046875	0.15742948867209671792721792371594347059726715087890625	0.67244253948838295098511252945172600448131561279296875	-48.31128033232353	90.913349554447	gys2;agla;pygl;ugp2b
TGF-beta signaling pathway	14/107	0.005687655361739302369017412530638466705568134784698486328125	0.13195360439235181981842970344587229192256927490234375	0.006808056014502113749420342259099925286136567592620849609375	0.1487581207780870606871559402861748822033405303955078125	-17.12966446536332	88.55106693968094	ep300b;bmpr1ba;bmpr1bb;crebbpa;pitx2;gdf6a;thbs1b;tfdp1a;tgfbr2b;smad2;tgif1;rgmd;rgma;bmp6
Riboflavin metabolism	2/8	0.08204421803675175650649720182627788744866847991943359375	0.5452506117901656512714225755189545452594757080078125	0.1028774370788294312273336572616244666278362274169921875	0.62775464159616489734361266528139822185039520263671875	-35.34281396995108	88.3745979251053	flad1;acp5a
Glycosphingolipid biosynthesis	3/38	0.414008318469227976077462471948820166289806365966796875	0.980991022031088899524320368072949349880218505859375	0.39952503718137510890784369621542282402515411376953125	0.9268980862607902881933341632247902452945709228515625	-81.75163086522473	72.09424632662493	b3gnt2b;b3galt2;gbgt1l4
Hedgehog signaling pathway	4/56	0.451245646956291768248092921567149460315704345703125	0.99879243806854611786860687061562202870845794677734375	0.428406965702977371446280585587373934686183929443359375	0.93781954449353233105313165651750750839710235595703125	-76.09129463659484	60.54914672319112	csnk1a1;ccnd2a;hhip;kif7
Glycerolipid metabolism	5/60	0.3057634877375938753374384759808890521526336669921875	0.8996543972461523708261665888130664825439453125	0.292082889864162253967805327192763797938823699951171875	0.8687593647241749206244776360108517110347747802734375	-48.09212473059362	56.98644539586196	gpat2;si:dkey-172j4.3;glyctk;dgkza;dgkh
ErbB signaling pathway	14/102	0.0036873921017773034387865482841561970417387783527374267578125	0.10693437095154180449529945917674922384321689605712890625	0.00467594712076947749412880739328102208673954010009765625	0.1487581207780870606871559402861748822033405303955078125	-8.056045225915925	45.136698745439425	pik3r3b;grb2b;map2k7;abl2;abl1;sos2;shc2;pik3r1;cdkn1a;nck1b;nrg1;ptk2ab;pak2a;crkl
Sulfur relay system	1/6	0.315649728395909157097065644848044030368328094482421875	0.8996543972461523708261665888130664825439453125	0.329528966900811959295225506139104254543781280517578125	0.88372149992096116211115486294147558510303497314453125	-36.3166419878342	41.87752373155147	ctu1
Phosphatidylinositol signaling system	13/108	0.01474364957763949109115220181820404832251369953155517578125	0.19002926122290897392730357751133851706981658935546875	0.0161292524271313963968310645213932730257511138916015625	0.187099328154724187101010102196596562862396240234375	-9.91139007795271	41.795765285041156	synj1;pik3r3b;pikfyve;plce1;dgkh;plcd1b;plcd1a;pik3r1;si:dkey-172j4.3;inpp4b;inpp5b;ip6k2b;dgkza
Steroid biosynthesis	2/19	0.326056794874200417400089691000175662338733673095703125	0.90053781441445834854420127157936803996562957763671875	0.32646427593024152091771838968270458281040191650390625	0.88372149992096116211115486294147558510303497314453125	-36.75519147077143	41.19094380201047	fdft1;cyp2r1
Glycine, serine and threonine metabolism	3/44	0.510717138488218314051891866256482899188995361328125	0.99999978019658997130392208418925292789936065673828125	0.4883970838647326839776496854028664529323577880859375	0.94821722754985982017927881315699778497219085693359375	-60.06702992176713	40.36140326898099	tdh;sardh;glyctk
mRNA surveillance pathway	8/88	0.170501781184128453627835142469848506152629852294921875	0.70636452204853217295976719469763338565826416015625	0.1623137164282303646078986503198393620550632476806640625	0.67244253948838295098511252945172600448131561279296875	-22.216188111239504	39.30064861092007	pabpn1;ppp2r2ab;acin1b;ppp2r2bb;ppp2r3b;ppp2r5cb;ppp2r3a;acin1a
Ferroptosis	5/45	0.1392168026851579309965956099404138512909412384033203125	0.62810887965344852634785866030142642557621002197265625	0.1420249409021348274695384361621108837425708770751953125	0.65519935496429926313766145540284924209117889404296875	-19.898958195305344	39.23523015538672	ncoa4;acsl1b;acsl1a;tp53;acsl5
Steroid hormone biosynthesis	4/37	0.188858668246812688717994888065732084214687347412109375	0.73025351722100906304291356718749739229679107666015625	0.19072034648753455332581552283954806625843048095703125	0.73745200641846697653392084248480387032032012939453125	-21.356157630654995	35.59551093050492	hsd17b2;hsd17b12a;hsd17b8;cyp11a1
Adipocytokine signaling pathway	10/86	0.03712705067173949213810146829928271472454071044921875	0.331287529070906250350248001268482767045497894287109375	0.039234095507323367424401538983147474937140941619873046875	0.3393870471366839947080507045029662549495697021484375	-10.714917777772412	35.288611427096036	acsbg2;acsl1b;socs3b;acsl1a;cpt1aa;lepr;ptpn11b;acacb;prkag2a;acsl5
p53 signaling pathway	12/77	0.002404407532741583385094141789295463240705430507659912109375	0.10693437095154180449529945917674922384321689605712890625	0.0034828613217969327069123419704510524752549827098846435546875	0.1487581207780870606871559402861748822033405303955078125	-5.316853368987081	32.06302772426648	sesn1;siah1;bcl2l1;ccnd2a;adgrb1a;cdkn1a;zmat3;ccng1;ccne1;tp53;mdm2;thbs1b
Fatty acid degradation	5/45	0.1392168026851579309965956099404138512909412384033203125	0.62810887965344852634785866030142642557621002197265625	0.1420249409021348274695384361621108837425708770751953125	0.65519935496429926313766145540284924209117889404296875	-15.36077471395323	30.287190181101423	acsbg2;acsl1b;acsl1a;cpt1aa;acsl5
Amino sugar and nucleotide sugar metabolism	4/57	0.464955100480185234967933638472459279000759124755859375	0.99879243806854611786860687061562202870845794677734375	0.44100063700332337024434536942862905561923980712890625	0.93781954449353233105313165651750750839710235595703125	-38.32741268200155	29.35168593268979	cmasa;cyb5r4;gne;ugp2b
Fructose and mannose metabolism	4/42	0.254857047615503706783357529275235719978809356689453125	0.84466907209709807258235514382249675691127777099609375	0.250362650901370276113055979294585995376110076904296875	0.80511832384228043668628060913761146366596221923828125	-21.1764355248452	28.949298883992224	aldoaa;pfkfb4a;aldob;pfkfb1
Alanine, aspartate and glutamate metabolism	3/41	0.463313989429826822430413812980987131595611572265625	0.99879243806854611786860687061562202870845794677734375	0.44465581850986446443840804931824095547199249267578125	0.93781954449353233105313165651750750839710235595703125	-35.32161938864824	27.17469818453184	cps1;ppat;adssl
N-Glycan biosynthesis	5/54	0.23446012871025623258702808016096241772174835205078125	0.8241628766784765414143976158811710774898529052734375	0.2280350312711000027032781645175418816506862640380859375	0.80511832384228043668628060913761146366596221923828125	-18.205542139266544	26.406587834464375	man1a2;dpagt1;fut8a;zgc:101663;st6gal1
