GeneID	P1_fert_egg	P1_s1_cell	P1_s16_cell	P1_s64_cell	P1_s128_cell	P1_s512_cell	P1_high	P1_oblong	P1_sphere	P1_s30pc_epi	P1_shield	P1_s4_somites	P1_s14_19_somites	P1_prim5	P1_prim25	P1_longPec	P2_fert_egg	P2_s1_cell	P2_s16_cell	P2_s64_cell	P2_s128_cell	P2_s512_cell	P2_high	P2_oblong	P2_sphere	P2_s30pc_epi	P2_shield	P2_s4_somites	P2_s14_19_somites	P2_prim5	P2_prim25	P2_longPec	P1TranscriptID	P2TranscriptID	CDS	CDSType	Cor	CorType
ENSDARG00000007812.8	2.630445901	0.7266250979	1.575553968	2.016581029	4.562485064	2.021759694	3.083892393	0.9361221644	3.185071029	4.724433575	1.309995419	3.139301587	0.8143457865	3.934697294	1.584812403	5.654758439	93.21819283	93.5908475	31.25533588	101.1633873	25.5446777	38.14117767	123.3688193	71.88739988	129.9633385	79.48702435	100.9706059	34.90724268	84.94536573	60.90698996	93.20659536	47.14692018	ENSDART00000150942.1|protein_coding|sp3b	ENSDART00000002247.7|protein_coding|sp3b	DiffCDSStart	2	NoCor	0
ENSDARG00000032765.6	0	0.2399420329	0	0.2026985289	0	0.03617428406	0	0.3887967114	5.258578329	23.67084029	14.91045105	21.86675302	9.437341789	16.05274491	10.93822903	8.73171551	0	0	0	0.1013492644	0	0.03617428406	0	0	0	0.04450077078	0.2348347112	1.296834868	33.74053811	8.939350291	1.177931984	0	ENSDART00000170136.1|protein_coding|net1	ENSDART00000002682.7|protein_coding|net1	DiffCDSStart	2	NoCor	0
ENSDARG00000018270.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4572002304	2.204186953	4.663077049	0	0	0	0	0	0	0	0	0	0	0.2348347112	0.2878254387	0.5826842488	4.420998852	2.742141081	10.19580253	ENSDART00000134241.2|protein_coding|olfm1a	ENSDART00000002908.7|protein_coding|olfm1a	DiffCDSStart	2	PosCor	1
ENSDARG00000018742.10	37.38314371	45.61158214	31.83980267	67.90597883	31.39793957	35.46250192	44.81350803	70.72146365	66.699854	65.32332687	47.40893909	21.96940376	50.8778594	49.53965713	56.49140534	54.14252764	0.8826190694	0.7198260986	0	1.443507967	0	0.6497869097	1.96446317	1.439938438	1.347186797	0.3219399519	3.405206041	0.2878254387	0.139407923	0.209044166	1.032215563	0.1727296195	ENSDART00000153136.2|protein_coding|psme4b	ENSDART00000003143.8|protein_coding|psme4b	SameCDSStart	1	NoCor	0
ENSDARG00000018524.6	14.10825605	10.54836728	13.83145609	15.31501796	12.38012213	14.23477434	8.220638222	18.38642475	7.067635968	5.686631052	5.616914697	28.07735451	35.3573942	45.55151942	45.42655369	40.5101112	11.83941994	9.674323909	4.739539388	9.713148221	4.671416339	7.651717798	8.919172179	14.56209455	12.90699639	20.06464303	35.88226088	40.65767044	60.83488722	44.85065793	50.8443304	29.19466711	ENSDART00000167466.1|protein_coding|midn	ENSDART00000003929.6|protein_coding|midn	DiffCDSStart	2	PosCor	1
ENSDARG00000018397.8	0	0	0	0.1013492644	0	0	0	0	0	0	0.2348347112	1.114555861	0.8620605458	4.387593588	1.407213878	3.527300106	0	0	0	0.2205825841	0	0.03617428406	0	0	0.337161038	0.2670942584	1.648677788	5.203929609	5.248497978	21.03625261	20.06968951	43.99685285	ENSDART00000165006.2|protein_coding|hpca	ENSDART00000004034.7|protein_coding|hpca	SameCDSStart	1	PosCor	1
ENSDARG00000016153.9	2.289121676	2.373190594	0.4469581904	3.654479056	0	0.712141202	2.467108277	0.4177265492	5.316298322	11.74656985	9.254819948	229.4635243	468.7331953	227.1215122	357.6941342	93.6750317	84.60266111	56.70238612	76.23514034	98.93135343	83.67978376	69.95526765	86.66539243	81.44729573	95.76812958	117.6896366	69.15055664	35.21799557	19.44835514	24.7161284	28.21717604	42.74217619	ENSDART00000126885.2|protein_coding|dag1	ENSDART00000004504.7|protein_coding|dag1	SameCDSStart	1	NegCor	2
ENSDARG00000092947.3	11.6219138	0	0.4649527723	0.2205825841	0	0.3454885692	0.275834173	0.1295989038	0.164317314	4.231486519	5.398131227	18.50397325	10.03397485	37.52083319	70.37877427	110.1977375	0.04490434944	0	0	0	0	0.03617428406	0	0	0	0.3028940674	0.8281914853	2.613500661	1.143103553	7.578388343	2.079787384	3.54637097	ENSDART00000105806.4|protein_coding|cyt1	ENSDART00000004812.9|protein_coding|cyt1	DiffCDSStart	2	PosCor	1
ENSDARG00000006019.7	174.7569049	222.8108166	125.819653	356.6706289	129.8174387	185.6164469	183.6399648	400.9202031	275.4448149	156.8035976	223.1252193	146.3361543	303.5561351	268.66194	225.4842785	103.2799742	1.254981552	1.743371228	2.02883648	1.34894233	0.8056444075	1.026478872	0.275834173	2.909985879	2.251276527	1.742357579	1.063026196	0.5389049838	0.2327951793	1.539920653	0	0.1727296195	ENSDART00000175257.1|protein_coding|tktb	ENSDART00000005021.5|protein_coding|tktb	SameCDSStart	1	NoCor	0
ENSDARG00000016788.9	0.1082652678	0	0	0.3040477933	0	0.1446971363	0	0.7479153206	5.262886335	12.37034471	51.92316482	31.65775999	31.10089341	29.04363307	35.18971804	40.28239254	1.064885014	1.026701498	1.553635602	1.453719081	1.109595814	1.751380708	1.09163608	1.007113128	1.96111233	1.510083844	2.754264147	8.148577267	3.115703068	7.053132568	6.581549602	24.53395331	ENSDART00000146493.3|protein_coding|zeb1a	ENSDART00000005449.7|protein_coding|zeb1a	DiffCDSStart	2	PosCor	1
ENSDARG00000012949.8	0.2410123772	0.3746834944	0	0.3219318486	0.2812118151	0.3259489521	0	0	0.164317314	0.372402193	0.3983356089	14.2308381	12.99510679	17.58057689	16.32580254	25.08136298	0	0	0	0	0	0	0	0	0	0	0.2348347112	9.915184122	12.60855442	9.872368497	1.174169655	2.371998675	ENSDART00000156121.2|protein_coding|scml2	ENSDART00000006669.7|protein_coding|scml2	SameCDSStart	1	PosCor	1
ENSDARG00000036558.6	8.345456499	19.52079589	0.6676512774	23.40886059	0.2812118151	8.712617009	35.0432256	15.7542119	18.14191684	5.712108794	23.68769719	66.39075243	429.0584784	240.7060982	381.9558567	58.67831652	0	0	0	0	0	0.1169898476	0	0	0	0	0.9413177159	39.13928767	72.62894162	33.50790724	28.10500945	19.32923312	ENSDART00000097295.5|protein_coding|col18a1a	ENSDART00000007058.9|protein_coding|col18a1a	DiffCDSStart	2	PosCor	1
ENSDARG00000005640.7	4.115731727	2.938470939	4.342796562	4.358471478	5.340417964	4.640386262	0.786225599	1.3373019	2.507166403	3.690209177	0.8727756652	1.89231667	1.724639483	2.9108257	0.3897962206	2.317169398	15.15338198	12.2087046	15.92660361	8.257068768	14.03595893	10.74112265	8.042392363	6.927137799	4.961686128	4.584105078	1.696196517	4.402009752	2.445358648	6.428986298	2.068591309	1.265693897	ENSDART00000163164.1|protein_coding|adat3	ENSDART00000008275.7|protein_coding|adat3	SameCDSStart	1	PosCor	1
ENSDARG00000008032.10	64.99610943	58.11582164	73.58204643	67.2961567	84.19835392	71.81400881	58.79207933	70.40008923	70.38653167	62.52643984	34.0058201	36.66811246	13.92551523	24.37240206	12.89633473	19.52359878	34.89915842	23.85767599	21.41314432	19.26865358	24.67998318	24.9481885	23.22645076	30.92296583	31.38938327	31.78447716	25.29740826	17.22973639	3.145529412	6.333736852	2.597614565	4.387239389	ENSDART00000124545.2|protein_coding|sart3	ENSDART00000008402.8|protein_coding|sart3	DiffCDSStart	2	PosCor	1
ENSDARG00000006487.8	1.322226162	1.11272192	1.114609468	0.2026985289	1.626265106	1.084474718	0.255195713	1.359558339	6.029609539	9.338471758	11.34576312	11.38655941	11.96507842	17.88751575	21.0161389	32.38953129	39.18582617	36.23290312	63.25111324	14.30119265	74.54351446	58.61130084	24.65432695	61.76868067	140.3341411	247.5410521	340.4347151	475.9374289	418.8299319	297.4343132	244.1922025	117.856701	ENSDART00000114041.3|protein_coding|anp32a	ENSDART00000008785.8|protein_coding|anp32a	DiffCDSStart	2	PosCor	1
ENSDARG00000008487.11	0.04490434944	0	0	0	0	0	0	0	0.164317314	0	0	0.2878254387	4.52355156	18.73036974	28.06889697	14.66870083	1.219293659	3.387464213	1.57956224	2.005579704	1.312072644	0.8559759963	3.845427932	1.217258157	6.092390431	9.47503194	16.51039263	39.28404385	32.70998249	22.28174466	26.01036596	4.964872248	ENSDART00000102903.5|protein_coding|dmd	ENSDART00000009886.8|protein_coding|dmd	DiffCDSStart	2	NoCor	0
ENSDARG00000009724.8	3.767001853	2.83183563	4.025039181	2.390626392	4.911673377	2.547157982	1.637704769	0.7479153206	4.774441629	8.879124432	13.98370115	61.34664352	63.86413193	85.01483239	71.96385827	39.59916372	2.288169428	0.9119394571	3.884143555	1.757766875	3.850309655	2.843980451	1.770902283	2.288258841	3.436039264	4.393998834	3.744811398	5.179407435	4.288870041	4.725960534	1.101302613	0.9908218898	ENSDART00000124968.2|protein_coding|rpn2	ENSDART00000010684.8|protein_coding|rpn2	SameCDSStart	1	NoCor	0
ENSDARG00000003854.8	16.30040154	8.637884504	10.19136155	14.51794243	9.2370989	13.39951788	7.408742513	11.97719665	11.07562313	9.160205302	11.25175206	79.61424901	22.42324759	42.52058783	15.00181796	30.41637267	0	0	0	0.1013492644	0	0.08081556356	0	0	0.1591042144	0.07159961794	2.719861648	76.52771144	58.12877622	54.70590482	22.17817425	16.98025652	ENSDART00000130801.2|protein_coding|acsl1b	ENSDART00000010773.7|protein_coding|acsl1b	SameCDSStart	1	PosCor	1
ENSDARG00000005162.10	0.2579835955	0	0	0.5814383572	0	0.4717233129	0	0	0	0.03579980897	5.672106555	1.547914413	116.1023093	171.4484017	469.2088394	51.73215328	272.7922728	146.6798669	103.9172892	83.4772784	71.71835131	114.715124	131.6653378	238.2939205	191.991504	266.0862871	166.5600096	131.1934465	93.4995817	121.8611566	61.00882189	79.9492132	ENSDART00000151375.2|protein_coding|tpm3	ENSDART00000010997.7|protein_coding|tpm3	DiffCDSStart	2	NoCor	0
ENSDARG00000020761.10	2.811485927	2.961790443	4.103569164	2.05909859	2.576478546	2.933534193	4.174044128	2.350208433	2.693283151	10.49873429	6.141561326	8.254400379	6.31224898	8.640716183	6.320370605	5.861443332	0.107587375	0.2399420329	0.2289586869	0	0	0.1293309673	0.275834173	0.2881276454	1.739200109	0.6411133607	1.341005087	10.29393585	6.829644458	17.54197889	11.53322613	6.760112457	ENSDART00000176549.1|protein_coding|arrdc2	ENSDART00000011362.8|protein_coding|arrdc2	DiffCDSStart	2	PosCor	1
ENSDARG00000014943.12	0.4149384565	0.4866830651	0.664957694	0.5814383572	1.707100103	1.635040715	0.275834173	0.4177265492	0.9959020228	0.8198742046	0	0.2878254387	0	0	0	0	130.7031262	187.6350844	95.13824967	176.8544669	113.182006	126.4214529	169.5326421	184.6062322	148.0478839	109.7779715	130.9980929	83.40441046	38.08089853	48.69481233	37.59716582	33.2897439	ENSDART00000177125.1|protein_coding|kif23	ENSDART00000012241.9|protein_coding|kif23	SameCDSStart	1	NoCor	0
ENSDARG00000003084.9	0	0	0	0.1013492644	0	0	0	0	0	0	0	0	0.139407923	0.9747749476	1.526231849	1.642708292	2.814299326	3.515747408	6.883737737	0.2205825841	1.696859048	2.558966845	1.59702866	2.343863791	3.931645936	3.124172024	0	0	0	0	0	0	ENSDART00000035245.7|protein_coding|spire2	ENSDART00000012287.7|protein_coding|spire2	SameCDSStart	1	NoCor	0
ENSDARG00000013533.7	0	0	0	0.1013492644	0	0.03617428406	0	0	0	0	0	17.37141969	11.60665099	18.65584055	9.714028958	12.89978748	0	0	0	0	0	0	0	0	0	0	0.4696694224	3.912074382	3.103482532	10.90854502	3.929029352	14.63531355	ENSDART00000151584.1|protein_coding|hoxb4a	ENSDART00000012470.6|protein_coding|hoxb4a	DiffCDSStart	2	PosCor	1
ENSDARG00000013961.9	171.9592987	140.1221333	48.93594174	146.5634102	47.65265827	78.69294013	192.8760427	157.5201868	174.6902652	122.3338281	80.14979452	62.74941681	56.58221839	60.62074724	49.94604564	14.81793356	0	0	0	0	0	0	0	0	0	2.206952894	6.65310582	47.86204725	2.518994554	9.804298351	0.5833718128	1.595395181	ENSDART00000149646.2|protein_coding|slc31a1	ENSDART00000012586.8|protein_coding|slc31a1	SameCDSStart	1	NoCor	0
ENSDARG00000014554.7	0	0	0	0	0	0	0	0.1295989038	0.8245013283	5.416281458	16.84222592	8.105470608	0.837793461	1.495863176	0	1.097730745	0.3132548702	0.3746834944	0.4469581904	0.2205825841	0.5244325923	0.1293309673	0	0.4597876752	0.6706102136	2.003790842	2.404863205	3.825038943	1.541351187	4.223026691	8.856720934	12.98800305	ENSDART00000152500.1|protein_coding|ppp1r3cb	ENSDART00000013360.5|protein_coding|ppp1r3cb	DiffCDSStart	2	NoCor	0
ENSDARG00000008840.9	24.86878629	20.54869238	21.75304803	18.63243959	16.78288709	23.51655725	12.81295706	14.10649683	10.6112535	11.86386944	4.42536776	13.85026963	15.51332167	26.22642714	18.41216158	9.288845602	0	0	0	0	0	0	0	0	0	0	0	0	1.610242239	13.38413049	0.7619440637	0.8842117665	ENSDART00000161836.1|protein_coding|hmbsa	ENSDART00000013431.5|protein_coding|hmbsa	DiffCDSStart	2	NoCor	0
ENSDARG00000014956.9	1.891968186	0.2239991414	1.129910466	0.1013492644	1.859244828	1.413331424	0.1275978565	0.1295989038	0.1591042144	0.8678737936	0.5998887303	0	0.0697039615	0.09269017694	0	0	108.0652363	111.8182063	40.00536047	95.48911347	42.44967572	69.92228483	107.9548402	133.5467041	57.98728363	31.94523289	16.06669221	19.15781865	11.1217021	19.45390209	11.84498866	18.7624091	ENSDART00000172333.1|protein_coding|diablob	ENSDART00000014254.9|protein_coding|diablob	DiffCDSStart	2	NoCor	0
ENSDARG00000035329.7	144.7877581	177.0634469	125.9565967	155.9779949	136.9633394	173.8481803	333.5815523	267.9270866	191.7094367	120.8749912	154.7258748	73.03605895	244.0890459	161.8640486	191.6950949	140.3807384	2.531073698	4.153954906	1.100956701	7.794126349	1.094344368	2.193881032	6.122183856	4.557686675	4.71189522	6.750596843	6.509111253	3.328712749	10.20593912	14.26882004	5.605058471	12.94235384	ENSDART00000131339.2|protein_coding|capns1a	ENSDART00000015240.8|protein_coding|capns1a	SameCDSStart	1	NoCor	0
ENSDARG00000010137.13	0.03168045919	0	0.2289586869	0	0	0.03617428406	0	0.1295989038	0.164317314	0.9144125475	0.6331703201	8.373050868	2.929118228	2.578199701	1.500320393	3.144328705	3.374111874	1.286622951	6.544015156	3.795825595	4.336668409	4.792753896	2.633174447	1.670906197	12.3631718	57.11143495	53.58807255	107.2186421	52.8913779	59.98772441	53.76562475	90.9777549	ENSDART00000126845.3|protein_coding|ldb1a	ENSDART00000015773.9|protein_coding|ldb1a	DiffCDSStart	2	PosCor	1
ENSDARG00000017058.9	0	0.2399420329	0	0.2205825841	0	0	0	0.2881276454	1.181186723	1.68059252	9.15585386	17.98245371	9.861601941	5.346680996	4.296910521	1.052174918	0	0.1119995707	0	0.3219318486	0	0.08081556356	0.1275978565	0.1295989038	1.466529838	2.394147447	7.873458907	17.02512505	4.876492393	8.259302582	4.808630805	3.900213838	ENSDART00000172328.2|protein_coding|gyltl1b	ENSDART00000015786.7|protein_coding|gyltl1b	SameCDSStart	1	PosCor	1
ENSDARG00000017126.10	57.87581298	110.7182584	30.64337994	80.08786977	30.53277991	46.58241983	94.51155984	62.70406906	96.00591338	65.71192778	16.56709407	4.039523797	6.430756214	14.8029061	8.30587714	8.15259291	4.18127445	8.156833596	1.343568155	5.015470103	3.017593604	2.91162566	6.588411746	4.544698592	6.565268301	4.789520136	2.015331474	0	0.0697039615	0.04953620504	0	0	ENSDART00000177181.1|protein_coding|ilvbl	ENSDART00000016271.8|protein_coding|ilvbl	SameCDSStart	1	PosCor	1
ENSDARG00000011777.10	1.422002267	1.104928274	1.798791945	2.47379475	1.094344368	1.818919668	2.81298874	3.33768762	1.865011752	2.544285356	0.9982243392	0	0	0	0	0	74.44734028	98.96649804	29.06586396	110.9891851	35.04979474	73.03176794	166.0098608	111.361078	129.1433891	68.38616333	72.43447179	53.23062586	128.7195531	80.43889736	112.9893946	50.65564806	ENSDART00000174305.1|protein_coding|cttn	ENSDART00000017053.7|protein_coding|cttn	DiffCDSStart	2	NoCor	0
ENSDARG00000019613.6	3.04645103	2.255952552	11.16804283	2.106928969	7.939295362	5.944669662	1.2549112	2.36863894	1.317799613	3.853744242	0.2015531214	4.17283319	5.041729317	5.738158776	3.627243318	3.475992933	0	0.1119995707	0	0	0	0.1293309673	0.1275978565	1.324170611	6.928603481	13.04522904	15.66171604	5.465376596	14.18532846	10.03602151	12.49211594	24.10546991	ENSDART00000153956.1|protein_coding|ip6k2b	ENSDART00000017402.6|protein_coding|ip6k2b	DiffCDSStart	2	NoCor	0
ENSDARG00000021113.8	4.072380956	7.150719697	2.047542139	1.12395279	1.05635333	1.910263157	3.978431649	2.790514252	5.071781907	3.710258975	2.139948227	0	0	0	0.2072652069	0	4.516664168	9.586638468	0.6597192209	2.338761223	1.124606989	1.864208195	3.860376648	4.387157893	8.427417207	12.0350356	19.18229554	74.56976608	322.3492502	186.028812	347.646179	355.227315	ENSDART00000151784.1|protein_coding|ptmaa	ENSDART00000017424.7|protein_coding|ptmaa	DiffCDSStart	2	NegCor	2
ENSDARG00000005274.8	11.42902176	24.25529117	36.34966705	12.72967659	27.06626756	18.64431724	11.71979364	8.01249669	4.17907926	11.2900033	2.484168975	0.863476316	1.79072115	1.969593287	1.674987608	3.211232915	1.325032341	1.140078139	2.046363756	1.444410052	0.8283839992	1.486059719	2.915359807	0.4597876752	0.6605825664	1.413906387	0.2348347112	0	0.0697039615	0	0	0	ENSDART00000079012.5|protein_coding|rad52	ENSDART00000017488.7|protein_coding|rad52	SameCDSStart	1	PosCor	1
ENSDARG00000020986.8	2.56911843	2.121593515	4.762893817	4.099004943	5.349661946	4.299045397	1.127313343	2.158923921	1.499169746	1.558835749	0.2015531214	0	0	0.8167491384	0.09811031416	0.3046698797	94.27777962	103.3816668	67.24458409	113.7421794	53.38130796	90.2135659	95.28419578	128.6087332	81.93601789	40.67319472	24.7656057	17.75767667	29.77501915	18.89733806	18.78644844	3.607321115	ENSDART00000164426.1|protein_coding|ctu1	ENSDART00000017850.8|protein_coding|ctu1	DiffCDSStart	2	PosCor	1
ENSDARG00000020469.12	53.94541198	25.88559303	33.95747028	47.62974735	34.54992981	37.5472979	40.98464373	26.04956833	52.02156694	43.96151145	12.75360089	23.03462479	15.25071614	29.90867725	21.05622718	55.86435512	1.04149326	0.4866830651	0.4417197174	1.413100007	0	0.2613624765	0.806864059	0.7479153206	1.002558152	1.55161346	0.4031062428	0	0	0	0	0	ENSDART00000171184.2|protein_coding|map3k7	ENSDART00000018545.8|protein_coding|map3k7	SameCDSStart	1	PosCor	1
ENSDARG00000001910.12	0.03168045919	0.3519416036	0.2179995035	0	0.2812118151	0.4802381124	0.1275978565	0	0	0.2670942584	0.2015531214	0	1.233512037	3.351907851	2.522040051	10.19187677	0	0	0	0	0	0	0.1275978565	0	0	0	0.7064830047	1.4023813	18.65211362	14.62998104	23.59807661	13.41471561	ENSDART00000173723.1|protein_coding|rorab	ENSDART00000019140.11|protein_coding|rorab	DiffCDSStart	2	PosCor	1
ENSDARG00000062590.8	0.04490434944	0	0	0.2026985289	0	0.1169898476	0	0	0	0.1056139747	1.573341086	2.229111722	28.14360615	46.27898229	155.4950025	41.91046628	0	0	0	0	0.2812118151	0	0	0	0.8059472711	6.098605693	11.31756841	7.502020988	8.0524834	15.08339546	13.35531506	5.931519742	ENSDART00000175106.1|protein_coding|pleca	ENSDART00000019505.10|protein_coding|pleca	DiffCDSStart	2	PosCor	1
ENSDARG00000056633.7	0.9308567812	0.4639411743	0.4359990071	0.5246303775	0.5471721841	0.8388355937	0.8158019074	0.4177265492	1.480217137	1.200697081	0	0.2878254387	0.9544605705	3.320347945	4.896609237	22.06327249	0	0	0	0	0	0	0	0	0	0	0	0	0.3958863971	1.76121959	2.693173334	0.7224736339	ENSDART00000162710.2|protein_coding|fgf13b	ENSDART00000020096.8|protein_coding|fgf13b	DiffCDSStart	2	NoCor	0
ENSDARG00000011665.8	0.104665959	0	0	0.1013492644	0	0.1634824385	0	0	0	0.03579980897	0	2.715931783	3.949804174	29.14651456	63.95871918	143.7667896	123.6757277	136.4846492	115.0291454	150.1563136	90.89422911	100.9181038	64.40384283	84.13232665	117.2174968	174.2877741	165.2752249	319.9447733	235.5346008	315.6204936	239.1950927	130.2662709	ENSDART00000146867.2|protein_coding|aldoaa	ENSDART00000020741.7|protein_coding|aldoaa	SameCDSStart	1	NoCor	0
ENSDARG00000021378.11	2.040633284	3.072160087	3.594142343	6.263523946	1.892225475	2.872086945	1.432723825	1.22424981	6.187382732	13.21004225	34.37861016	47.04690659	33.01972457	29.60753128	37.80396517	34.59289551	1.081172	0.6146255272	0.2179995035	1.078578799	0.5471721841	0.4885900153	2.456696104	0.7058541946	2.857308524	3.503078196	5.396336316	0.8267304225	3.29116442	2.940765311	3.236639111	1.265693897	ENSDART00000126499.2|protein_coding|phf21ab	ENSDART00000021577.10|protein_coding|phf21ab	DiffCDSStart	2	NoCor	0
